Operadora,Local,UF,Latitude,Longitude,2G,3G,4G,5G
TIM,Rua Coelho Neto48Carlos Guinle,RJ,22S2658,42W5819,,,SIM,
VIVO,Rua Ant�nio da Silva 300,RJ,22S2312,42W5120,,SIM,SIM,
VIVO,Rua Mato Grosso921Santa Cec�lia,RJ,22S2633,42W5842,SIM,SIM,SIM,
VIVO,Caminho Cl�udio de Souza 50,RJ,22S2701,42W5908,,SIM,SIM,
TIM,ESTRADA VALE ALPINO 0 0,RJ,22S1308,42W4750,,SIM,SIM,
TIM,ESTRADA DAS MAGNOLIAS S/N RUA B LOTE I - 4 - A6,RJ,22S2223,42W5537,SIM,SIM,SIM,
CLARO,AV PRESIDENTE ROOSEVELT 1260 BARRA DO IMBU�,RJ,22S2402,42W5840,,SIM,SIM,
CLARO,R RAIMUNDO BRITO 101 S�O PEDRO,RJ,22S2545,42W5738,,SIM,SIM,
TIM,Rua Antonio da Silva 300 Le Canton,RJ,22S2312,42W5121,,,SIM,
VIVO,Rua Carmela Dutra294Agri�es,RJ,22S2512,42W5835,,SIM,SIM,
TIM,Estrada das Magn�liasS/NAlbuquerque,RJ,22S2223,42W5536,,,SIM,
TIM,Estrada Cainga - Bairro,Alto500Prata  ,Teres�polis,22S2411,42W5729,,,SIM
TIM,Rua Mato Grosso921Santa Cec�lia,RJ,22S2632,42W5841,,,SIM,
TIM,Estrada NovaS/NJARDIM SALACO 0,RJ,22S2235,42W5905,,,SIM,
TIM,Avenida Herc�lio Ferreira dos SantosS/NCarlos Guinle,RJ,22S2710,42W5831,,,SIM,
TIM,Caminho Cl�udio de Souza50Soberbo 0,RJ,22S2701,42W5908,,,SIM,
TIM,Rua �ris42Meudon 0,RJ,22S2612,42W5706,,,SIM,
TIM,Estrada das Pimenteiras2Pimenteiras 0,RJ,22S2441,42W5850,,,SIM,
TIM,Rua Visconde de Cabo FrioS/NGolfe,RJ,22S2324,42W5922,,,SIM,
TIM,Avenida L�cio Meira194V�rzea,RJ,22S2446,42W5809,,,SIM,
TIM,CAMINHO COLINA DO MIRANTES/Nzona ruraL,RJ,22S2538,42W5818,,,SIM,
TIM,Avenida Oliveira Botelho 73 -,RJ,22S2609,42W5840,,,SIM,
TIM,Estrada Francisco Smolka1420Quebra Frascos 0,RJ,22S2430,42W5945,,,SIM,
TIM,LOTE DE TERRENO N� 1 DA QUADRA V DA GLEBA 1 DO LOTEAMENTO DENOMINADO JARDIM COMARYs/nCARLOS GUINLE,RJ,22S2701,42W5801,,,SIM,
TIM,Rua Rei Alberto277Jardim Pinheiros,RJ,22S2501,42W5747,,,SIM,
TIM,Rua Carmela Dutra294Agri�es,RJ,22S2512,42W5835,,,SIM,
TIM,Rua Ant�nio da Silva300Vargem Grande 0,RJ,22S2312,42W5120,,,SIM,
TIM,RUA PROJETADA S/N -ZONA RURAL-TERESOPOLIS,RJ,22S1803,42W5718,SIM,,SIM,
TIM,ESTRADA VENDA NOVA RIO PRETO S/N S�TIO S�O JUDAS TADEU-SEBASTIANA-TERESOPOLIS,RJ,22S1726,42W5151,SIM,,SIM,
TIM,RANCHO RUA FRANCISCO SMOLKA 1420 SITIO KOP,RJ,22S2430,42W5945,,SIM,SIM,
TIM,ESTRADA DE MOTAS S/N,RJ,22S1259,42W4548,SIM,,SIM,SIM
TIM,ESTRADA NOVA S/N  LOTE G,RJ,22S2235,42W5906,,SIM,SIM,
CLARO,RUA FRANCISCO S� 1 V�RZEA - TERES�POLIS,RJ,22S2442,42W5757,,SIM,SIM,
TIM,RODOVIA SANTOS DUMONT KM 63 PROVIDENCIA ZONA RURAL - TERESOPOLIS,RJ,22S1629,42W5540,SIM,,SIM,
CLARO,R MATO GROSSO 921 SANTA CECILIA,RJ,22S2627,42W5841,,SIM,SIM,
VIVO,RUA MANUEL ROSE S/N -,RJ,22S2230,42W5217,,SIM,SIM,
TIM,RUA TEN LUIS MEIRELES S/N,RJ,22S2513,42W5751,,,SIM,
CLARO,RUA CL�UDIO DE SOUZA 50 SOBERBO,RJ,22S2732,42W5914,,SIM,SIM,
CLARO,R OSCAR JOSE DA SILVA S/N PIMENTEIRAS,RJ,22S2441,42W5850,SIM,SIM,SIM,
CLARO,RUA DOS CANARIOS 59 CALEME,RJ,22S2356,43W0016,SIM,SIM,SIM,
TIM,RUA CANARIOS 59,RJ,22S2356,43W0016,,,SIM,
TIM,RUA AMERICO MARCOS 676 LOTEAMENTO FEO,RJ,22S2351,42W5818,,,SIM,SIM
TIM,RUA OSCAR JOSE DA SILVA,RJ,22S2440,42W5851,,,SIM,
CLARO,R EDMUNDO BITTENCOURT 101 VARZEA,RJ,22S2438,42W5757,SIM,SIM,SIM,
TIM,RUA REI ALBERTO 277,RJ,22S2501,42W5747,,,SIM,
VIVO,AVENIDA PRESIDENTE ROOSEVELT 1260 - -,RJ,22S2402,42W5840,,SIM,SIM,
TIM,RODOVIA RJ -130 KM 39 0,RJ,22S1642,42W4304,SIM,SIM,SIM,
TIM,Estrada Teres�polis-Friburgo - Km 15 0,RJ,22S1534,42W5017,SIM,SIM,SIM,
CLARO,EST FRANCISCO SMOLKA 142,RJ,22S2431,42W5947,,SIM,SIM,
CLARO,EST DO SALACO S/N,RJ,22S2235,42W5906,,SIM,SIM,
TIM,Rua Visconde De Cabo Frio S/N -,RJ,22S2359,43W0018,,,SIM,
TIM,Estrada Das Magnolias S/N -,RJ,22S2144,42W5614,,,SIM,
TIM,Caminho Cl�udio De Souza S/N -,RJ,22S2646,42W5908,,,SIM,
TIM,Avenida Presidente Roosevelt S/N -,RJ,22S2405,42W5833,,,SIM,
CLARO,EST DIOGENES PEDRO DA COSTA S/N,RJ,22S2302,42W5122,,SIM,SIM,
