Data,Modelo,Nome,Rede,Fabricante
13/02/23,A2783,iPhone SE,Ambos (SA / NSA),Apple
03/03/23,22101320G,POCO X5 PRO 5G,Ambos (SA / NSA),Xiaomi 
09/03/22,SM-A736B/DS,,Ambos (SA / NSA),Samsung 
11/02/22,XT2061-3,Motorola Edge Plus,Non-standalone (NSA),Motorola 
07/03/22,RMX3301,(realme GT 2 Pro),Ambos (SA / NSA),Realme Chongqing
09/03/22,SM-A226BR/DSN,,Non-standalone (NSA),Samsung
28/07/22,2201123G,Xiaomi 12,Ambos (SA / NSA),Xiaomi 
29/04/22,Lenovo L79031,Lenovo Legion Phone Duel,Non-standalone (NSA),Lenovo
08/02/23,XT2203-1,Motorola Edge 30,Ambos (SA / NSA),Motorola 
25/10/23,SM-G781B/DS,,Non-standalone (NSA),Samsung
21/12/22,2201116PG,,Ambos (SA / NSA),Xiaomi 
21/12/22,2201116SG,,Ambos (SA / NSA),Xiaomi 
11/05/22,ZS673KS,ROG Phone 5,Ambos (SA / NSA),Asustek
11/05/22,ZS676KS,ROG Phone 5s,Ambos (SA / NSA),Asustek
06/05/22,X6815B,ZERO 5G,Ambos (SA / NSA),Positivo
09/05/22,XT2063-3,Motorola Edge,Non-standalone (NSA),Motorola 
13/04/23,XT2321-1,,Ambos (SA / NSA),Motorola 
06/05/22,SM-M236B/DS,,Non-standalone (NSA),Samsung
26/11/21,M2011K2G,,Non-standalone (NSA),Xiaomi 
05/05/22,SM-M536B/DSN,,Ambos (SA / NSA),Samsung
18/04/23,X666B,HOT 20 5G,Ambos (SA / NSA),Infinix
06/05/22,SM-M336B/DS,,Ambos (SA / NSA),Samsung
18/05/22,XT2223-2,,Ambos (SA / NSA),Motorola 
06/05/22,XT2225-1,,Ambos (SA / NSA),Motorola 
10/05/23,XT2303-2,,Ambos (SA / NSA),Motorola 
24/11/21,M2012K11AG,,Non-standalone (NSA),Xiaomi 
24/11/21,M2103K19G,,Ambos (SA / NSA),Xiaomi 
24/11/21,M2103K19PG,,Ambos (SA / NSA),Xiaomi 
26/05/23,KI8,SPARK 10 5G,Ambos (SA / NSA),Tecno Mobile
09/05/22,SM-A136M/DS,,Ambos (SA / NSA),Samsung
15/12/22,22041219G,Redmi 10 5G,Ambos (SA / NSA),Xiaomi 
15/12/22,22041219PG,POCO M4 5G,Ambos (SA / NSA),Xiaomi 
12/07/22,22041219NY,,Ambos (SA / NSA),Xiaomi 
29/11/21,RMX3241,realme 8 5G,Ambos (SA / NSA),Realme Chongqing
28/08/23,X50,,Ambos (SA / NSA),Sichuan Koobee 
11/05/23,RMX3741,,Ambos (SA / NSA),Realme Chongqing
17/05/22,2203129G,,Ambos (SA / NSA),Xiaomi 
14/06/23,XT2323-1,,Ambos (SA / NSA),Motorola 
19/06/23,ASUS_AI2205_C,ROG Phone 7,Non-standalone (NSA),Asustek
19/06/23,ASUS_AI2205_D,ROG Phone 7 PRO,Non-standalone (NSA),Asustek
21/08/23,EDA57-1,ScanPal EDA57,Ambos (SA / NSA),Honeywell
08/08/22,XT2241-2,,Ambos (SA / NSA),Motorola 
26/11/21,ZS590KS,Zenfone 8,Ambos (SA / NSA),Asustek
20/05/22,XT2149-1,Motorola Moto G50 5G,Non-standalone (NSA),Motorola 
26/11/21,ZS672KS,Zenfone 8 Flip,Ambos (SA / NSA),Asustek
30/06/23,SM-F731B,,Ambos (SA / NSA),Samsung
28/06/23,SM-F946B/DS,,Ambos (SA / NSA),Samsung
19/08/22,XT2243-1,,Ambos (SA / NSA),Motorola 
04/10/22,T776H,TCL 30 5G,Ambos (SA / NSA),TCL Mobile
10/05/22,XT2143-1,Motorola Edge 20,Ambos (SA / NSA),Motorola 
20/05/22,XT2153-1,Motorola Edge 20 Pro,Non-standalone (NSA),Motorola 
09/02/21,ZS661KS,ROG Phone 3,Ambos (SA / NSA),Asustek
05/04/22,SM-N981B/DS,Galaxy Note 20 5G,Non-standalone (NSA),Samsung
01/04/22,SM-N986B/DS,Galaxy note 20 Ultra 5G,Non-standalone (NSA),Samsung
08/10/22,SM-F721B,,Ambos (SA / NSA),Samsung
25/08/22,SM-F936B/DS,,Ambos (SA / NSA),Samsung
12/05/22,XT2139-2,Motorola Edge 20 Lite,Non-standalone (NSA),Motorola 
09/05/23,SM-G990E/DS,,Ambos (SA / NSA),Samsung
28/04/23,SM-F711B,,Ambos (SA / NSA),Samsung
18/05/23,SM-F926B/DS,,Ambos (SA / NSA),Samsung
17/07/23,SM-A236M/DSN,,Ambos (SA / NSA),Samsung
22/06/23,SM-M346B/DS,,Ambos (SA / NSA),Samsung
10/08/23,X6711,,Ambos (SA / NSA),Infinix
11/08/22,TC15BK,Touch Computer,Ambos (SA / NSA),Zebra
13/04/23,XT2245-1,Motorola Edge 30 Neo,Ambos (SA / NSA),Motorola
05/07/23,TC58B1,TC58,Ambos (SA / NSA),Zebra
18/08/23,23076RN8DY,,Ambos (SA / NSA),Xiaomi
13/09/23,RMX3780,,Ambos (SA / NSA),Realme Chongqing
08/12/21,RMX3363,realme GT Master Edition,Ambos (SA / NSA),Realme Chongqing
06/06/23,A2882,iPhone 14,Ambos (SA / NSA),Apple
26/10/23,A2886,iPhone 14 Plus,Ambos (SA / NSA),Apple
11/05/22,SM-F916B,Galaxy Z Fold2 5G,Non-standalone (NSA),Samsung
30/05/22,SM-A528B/DS,,Ambos (SA / NSA),Samsung
05/01/23,A2890,iPhone 14 Pro,Ambos (SA / NSA),Apple
31/01/23,A2894,iPhone 14 Pro Max,Ambos (SA / NSA),Apple
18/10/22,ASUS_AI2201_C,ROG PHONE 6,Ambos (SA / NSA),Asustek
18/10/22,ASUS_AI2201_D,ROG PHONE PRO,Ambos (SA / NSA),Asustek
21/10/22,AI2202,Zenfone 9,Ambos (SA / NSA),Asustek
04/09/23,A2643,iPhone 13 Pro Max,Ambos (SA / NSA),Apple
